Date;Year;Month;Area;Area.Type;Variable;Variable.Type;Generation (GWh);YoY change (%);YoY change (GWh);Cumul. Generation (GWh);Cumul. YoY change (%);Cumul. YoY change (GWh);;
ene-18;2018;1;France;EU Country;Nuclear;Nuclear;40641;;;40641;;;;
ene-18;2018;1;France;EU Country;Waste;Waste;194;;;194;;;;
ene-18;2018;1;Germany;EU Country;Demand;Demand;46251;;;46251;;;;
ene-18;2018;1;Germany;EU Country;Production;Production;55041;;;55041;;;;
ene-18;2018;1;Germany;EU Country;Net imports;Net imports;-5507;;;-5507;;;;
ene-18;2018;1;Germany;EU Country;Statistical difference;Statistical difference;-3282;;;-3282;;;;
ene-18;2018;1;Germany;EU Country;Gas;Fossil;7701;;;7701;;;;
ene-18;2018;1;Germany;EU Country;Hard Coal;Fossil;5847;;;5847;;;;
ene-18;2018;1;Germany;EU Country;Lignite;Fossil;11627;;;11627;;;;
ene-18;2018;1;Germany;EU Country;Other fossil;Fossil;1665;;;1665;;;;
ene-18;2018;1;Germany;EU Country;Bioenergy;Renewables;4002;;;4002;;;;
ene-18;2018;1;Germany;EU Country;Hydro;Renewables;1812;;;1812;;;;
ene-18;2018;1;Germany;EU Country;Solar;Renewables;796;;;796;;;;
ene-18;2018;1;Germany;EU Country;Wind;Renewables;14866;;;14866;;;;
ene-18;2018;1;Germany;EU Country;Nuclear;Nuclear;6725;;;6725;;;;
ene-18;2018;1;Greece;EU Country;Demand;Demand;4717;;;4717;;;;
ene-18;2018;1;Greece;EU Country;Production;Production;3786;;;3786;;;;
ene-18;2018;1;Greece;EU Country;Net imports;Net imports;809;;;809;;;;
ene-18;2018;1;Greece;EU Country;Statistical difference;Statistical difference;122;;;122;;;;
ene-18;2018;1;Greece;EU Country;Gas;Fossil;1368;;;1368;;;;
ene-18;2018;1;Greece;EU Country;Lignite;Fossil;1588;;;1588;;;;
ene-18;2018;1;Greece;EU Country;Hydro;Renewables;200;;;200;;;;
ene-18;2018;1;Greece;EU Country;Solar;Renewables;197;;;197;;;;
ene-18;2018;1;Greece;EU Country;Wind;Renewables;433;;;433;;;;
ene-18;2018;1;Hungary;EU Country;Demand;Demand;3889;;;3889;;;;
ene-18;2018;1;Hungary;EU Country;Production;Production;2730;;;2730;;;;
ene-18;2018;1;Hungary;EU Country;Net imports;Net imports;1193;;;1193;;;;
ene-18;2018;1;Hungary;EU Country;Statistical difference;Statistical difference;-34;;;-34;;;;
ene-18;2018;1;Hungary;EU Country;Gas;Fossil;696;;;696;;;;
ene-18;2018;1;Hungary;EU Country;Lignite;Fossil;447;;;447;;;;
ene-18;2018;1;Hungary;EU Country;Other fossil;Fossil;90;;;90;;;;
ene-18;2018;1;Hungary;EU Country;Bioenergy;Renewables;78;;;78;;;;
ene-18;2018;1;Hungary;EU Country;Hydro;Renewables;14;;;14;;;;
ene-18;2018;1;Hungary;EU Country;Other renewables;Renewables;9;;;9;;;;
ene-18;2018;1;Hungary;EU Country;Solar;Renewables;15;;;15;;;;
ene-18;2018;1;Hungary;EU Country;Wind;Renewables;57;;;57;;;;
ene-18;2018;1;Hungary;EU Country;Nuclear;Nuclear;1314;;;1314;;;;
ene-18;2018;1;Hungary;EU Country;Waste;Waste;9;;;9;;;;
ene-18;2018;1;Ireland;EU Country;Demand;Demand;2654;;;2654;;;;
ene-18;2018;1;Ireland;EU Country;Production;Production;2555;;;2555;;;;
ene-18;2018;1;Ireland;EU Country;Net imports;Net imports;-75;;;-75;;;;
ene-18;2018;1;Ireland;EU Country;Statistical difference;Statistical difference;174;;;174;;;;
ene-18;2018;1;Ireland;EU Country;Gas;Fossil;630;;;630;;;;
ene-18;2018;1;Ireland;EU Country;Hard Coal;Fossil;273;;;273;;;;
ene-18;2018;1;Ireland;EU Country;Other fossil;Fossil;391;;;391;;;;
ene-18;2018;1;Ireland;EU Country;Hydro;Renewables;134;;;134;;;;
ene-18;2018;1;Ireland;EU Country;Wind;Renewables;1128;;;1128;;;;
ene-18;2018;1;Italy;EU Country;Demand;Demand;25337;;;25337;;;;
ene-18;2018;1;Italy;EU Country;Production;Production;22096;;;22096;;;;
ene-18;2018;1;Italy;EU Country;Net imports;Net imports;4572;;;4572;;;;
ene-18;2018;1;Italy;EU Country;Statistical difference;Statistical difference;-1332;;;-1332;;;;
ene-18;2018;1;Italy;EU Country;Gas;Fossil;12210;;;12210;;;;
ene-18;2018;1;Italy;EU Country;Hard Coal;Fossil;2294;;;2294;;;;
ene-18;2018;1;Italy;EU Country;Other fossil;Fossil;287;;;287;;;;
ene-18;2018;1;Italy;EU Country;Bioenergy;Renewables;1491;;;1491;;;;
ene-18;2018;1;Italy;EU Country;Hydro;Renewables;2350;;;2350;;;;
ene-18;2018;1;Italy;EU Country;Other renewables;Renewables;495;;;495;;;;
ene-18;2018;1;Italy;EU Country;Solar;Renewables;966;;;966;;;;
ene-18;2018;1;Italy;EU Country;Wind;Renewables;1971;;;1971;;;;
ene-18;2018;1;Italy;EU Country;Waste;Waste;32;;;32;;;;
ene-18;2018;1;Latvia;EU Country;Demand;Demand;692;;;692;;;;
ene-18;2018;1;Latvia;EU Country;Production;Production;880;;;880;;;;
ene-18;2018;1;Latvia;EU Country;Net imports;Net imports;-186;;;-186;;;;
ene-18;2018;1;Latvia;EU Country;Statistical difference;Statistical difference;-2;;;-2;;;;
ene-18;2018;1;Latvia;EU Country;Gas;Fossil;221;;;221;;;;
